"","self.time.v1.6.1-rc1","self.time.r744c6c8","self.time.rdd94866","self.time.r38a4c36","self.time.r8f13a5a","self.time.r9e90977","self.pct.v1.6.1-rc1","self.pct.r744c6c8","self.pct.rdd94866","self.pct.r38a4c36","self.pct.r8f13a5a","self.pct.r9e90977","total.time.v1.6.1-rc1","total.time.r744c6c8","total.time.rdd94866","total.time.r38a4c36","total.time.r8f13a5a","total.time.r9e90977","total.pct.v1.6.1-rc1","total.pct.r744c6c8","total.pct.rdd94866","total.pct.r38a4c36","total.pct.r8f13a5a","total.pct.r9e90977","mem.total.v1.6.1-rc1","mem.total.r744c6c8","mem.total.rdd94866","mem.total.r38a4c36","mem.total.r8f13a5a","mem.total.r9e90977","samples.v1.6.1-rc1","samples.r744c6c8","samples.rdd94866","samples.r38a4c36","samples.r8f13a5a","samples.r9e90977"
"GrahamDB-selac-8f13a5a/R/selac.R#3450#""internal_expmt"".ecoliSHORT_selac_UNREST_median",,,,,44.8216666666667,47.5966666666667,,,,,12.385,14.996,,,,,306.833333333333,262.41,,,,,84.793,82.666,,,,,51636.0866666667,42241.3833333333,0,0,0,0,30,30
"GrahamDB-selac-ca13013/R/selac.R#1551#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"expm/R/expm2.R#104#""%*%"".ecoliSHORT_selac_UNREST_median",,,,28.3966666666667,,,,,,6.19633333333333,,,,,,29.4983333333333,,,,,,6.43666666666667,,,,,,5700.96,,,0,0,0,30,0,0
"GrahamDB-selac-eb6213a/R/selac.R#3392#""%*%"".ecoliSHORT_selac_UNREST_median",,,,,28.35,28.23,,,,,7.83166666666667,8.88866666666667,,,,,29.6866666666667,29.4666666666667,,,,,8.20066666666667,9.27833333333333,,,,,4781.61666666667,4444.91333333333,0,0,0,0,30,30
"""solve.default"".ecoliSHORT_selac_UNREST_median",,,,67.855,67.28,67.65,,,,14.811,18.5986666666667,21.3146666666667,,,,71.2333333333333,72.0033333333333,72.2716666666667,,,,15.5483333333333,19.904,22.771,,,,13892.2,11803.8166666667,11227.8,0,0,0,30,30,30
"GrahamDB-selac-eb6213a/R/selac.R#3391#""solve"".ecoliSHORT_selac_UNREST_median",,,,,1.67,1.65666666666667,,,,,0.461333333333333,0.521666666666667,,,,,62.81,63.2166666666667,,,,,17.3556666666667,19.91,,,,,10278.0166666667,9869.24333333333,0,0,0,0,30,30
"""force"".ecoliSHORT_selac_GTR_quadrature",,,,,0.06,0.05,,,,,0.012,0.01,,,,,401.55,356.55,,,,,100,100,,,,,73504.72,62558.35,0,0,0,0,5,2
"""FUN"".ecoliSHORT_selac_GTR_quadrature",1.11904761904762,0.92,1.01785714285714,0.760869565217391,0.716666666666667,0.715,0.0252380952380952,0.0204,0.0232142857142857,0.152173913043478,0.178333333333333,0.201666666666667,4269.5,4241.74,4216.33928571429,496.304347826087,398.076666666667,350.395,99.9280952380952,99.9256,99.9239285714286,99.36,99.182,99.064,54853.7285714286,51619.56,50999.5142857143,11988.9608695652,72233.22,62066.7533333333,21,25,28,23,30,30
"""lapply"".ecoliSHORT_selac_GTR_quadrature",3.13333333333333,2.98333333333333,3.32758620689655,0.764705882352941,0.253333333333333,0.246666666666667,0.0736666666666667,0.07,0.0786206896551724,0.152941176470588,0.0633333333333333,0.0696666666666667,4268.15,4242.45,4216.60344827586,495.676470588235,397.873333333333,350.211666666667,99.922,99.9223333333333,99.9206896551724,99.3058823529412,99.1316666666667,99.0103333333333,54812.4033333333,51621.4133333333,50998.6965517241,11995.4117647059,72195.9733333333,62040.4066666667,30,30,29,17,30,30
"GrahamDB-selac-ca13013/R/selac.R#3243#""expm"".ecoliSHORT_selac_GTR_quadrature",3959.91666666667,,,,,,92.7033333333333,,,,,,4089.41666666667,,,,,,95.7363333333333,,,,,,49913.4366666667,,,,,,30,0,0,0,0,0
