"","r38824ae","rf09bcd7","r4ea4356","rab3e84e","r5c98a1f"
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1120#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1123#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""tryCatch"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""tryCatchOne"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1250#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1122#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1454#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
""".Call"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""replCmat4"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1225#""exp_A_tvec_codon"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3591#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""[<-"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1127#""[<-"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1126#""[<-"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""sum"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3599#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""new"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""initialize"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""*"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-f09bcd7/R/selac.R#3597#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""callNextMethod"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3592#""*"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3577#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
""".nextMethod"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""validObject"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3632#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""as"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
""".classEnv"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""getClassDef"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""rowSums"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-819329e/R/selac.R#3524#""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""anyStrings"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""is"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""callGeneric"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""validityMethod"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""getClass"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"""<GC>"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
""".requirePackage"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3782#""sum"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3809#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
""".local"".ecoliFASTHMMTEST_selac_UNREST_none",17,6,12,18,12
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1120#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1123#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""tryCatch"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""tryCatchOne"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1250#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1122#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1454#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
""".Call"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""replCmat4"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1225#""exp_A_tvec_codon"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3591#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""[<-"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1127#""[<-"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1126#""[<-"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""sum"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3599#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""new"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""initialize"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""*"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-f09bcd7/R/selac.R#3597#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""callNextMethod"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3592#""*"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3577#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
""".nextMethod"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""validObject"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3632#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""as"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
""".classEnv"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""getClassDef"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""rowSums"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-819329e/R/selac.R#3524#""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""anyStrings"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""is"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""callGeneric"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""validityMethod"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""getClass"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"""<GC>"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
""".requirePackage"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3782#""sum"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3809#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
""".local"".ecoliFASTHMMTEST_selac_UNREST_median",17,6,12,18,12
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1120#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1123#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""tryCatch"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""tryCatchOne"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1250#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1122#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1454#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
""".Call"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""replCmat4"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1225#""exp_A_tvec_codon"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3591#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""[<-"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1127#""[<-"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1126#""[<-"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""sum"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3599#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""new"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""initialize"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""*"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-f09bcd7/R/selac.R#3597#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""callNextMethod"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3592#""*"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3577#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
""".nextMethod"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""validObject"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3632#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""as"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
""".classEnv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""getClassDef"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""rowSums"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"GrahamDB-selac-819329e/R/selac.R#3524#""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
"""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17,6,12,18,12
