SRC,Nuc.Model,Gamma.model,Revision,nCores,seed,model.LL
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3021,-66.852
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3018,-58.806
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3022,-41.540
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3025,-90.547
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3026,-75.874
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3023,-88.159
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3027,-38.150
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3024,-124.454
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3028,-130.393
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3031,-31.925
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3032,-36.889
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3029,-83.133
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3033,-66.165
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3030,-31.084
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3034,-73.302
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3037,-129.358
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3038,-65.898
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3035,-68.831
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3039,-35.785
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3036,-45.865
