"","self.time.r38824ae","self.time.rf09bcd7","self.time.r4ea4356","self.time.rab3e84e","self.time.r5c98a1f","self.pct.r38824ae","self.pct.rf09bcd7","self.pct.r4ea4356","self.pct.rab3e84e","self.pct.r5c98a1f","total.time.r38824ae","total.time.rf09bcd7","total.time.r4ea4356","total.time.rab3e84e","total.time.r5c98a1f","total.pct.r38824ae","total.pct.rf09bcd7","total.pct.r4ea4356","total.pct.rab3e84e","total.pct.r5c98a1f","mem.total.r38824ae","mem.total.rf09bcd7","mem.total.r4ea4356","mem.total.rab3e84e","mem.total.r5c98a1f","samples.r38824ae","samples.rf09bcd7","samples.r4ea4356","samples.rab3e84e","samples.r5c98a1f"
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,1.275,0,0,0,0,0.83,0,0,0,0,1.275,0,0,0,0,0.83,0,0,0,0,276.055555555556,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3599#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0.145833333333333,0,0,0,0,0.0933333333333333,0,0,0,0,1.20833333333333,0,0,0,0,0.770833333333333,0,0,0,0,299.358333333333,0,0,17,6,12,18,12
"""new"".ecoliFASTHMMTEST_selac_UNREST_none",0.0117647058823529,0,0,0,0,0.0494117647058824,0,0,0,0,0.217647058823529,0,0,0,0,0.912352941176471,0,0,0,0,36.9529411764706,0,0,0,0,17,6,12,18,12
"""initialize"".ecoliFASTHMMTEST_selac_UNREST_none",0.0117647058823529,0.0166666666666667,0,0,0,0.0441176470588235,0.0466666666666667,0,0,0,0.170588235294118,0.458333333333333,0,0,0,0.64,1.27,0,0,0,32.4764705882353,77.75,0,0,0,17,6,12,18,12
"""*"".ecoliFASTHMMTEST_selac_UNREST_none",0.0147058823529412,0.0416666666666667,0,0,0,0.0594117647058824,0.116666666666667,0,0,0,0.276470588235294,0.641666666666667,0,0,0,1.1,1.79166666666667,0,0,0,36.2058823529412,72.3166666666667,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",0.111764705882353,0,0,0,0,0.427058823529412,0,0,0,0,1.35882352941176,0,0,0,0,5.22294117647059,0,0,0,0,311.847058823529,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-f09bcd7/R/selac.R#3597#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_none",0.0764705882352941,0.125,0,0,0,0.299411764705882,0.355,0,0,0,0.514705882352941,1.08333333333333,0,0,0,1.99411764705882,3.06833333333333,0,0,0,84.1823529411765,249,0,0,0,17,6,12,18,12
"""callNextMethod"".ecoliFASTHMMTEST_selac_UNREST_none",0.05,0.0916666666666667,0,0,0,0.19,0.263333333333333,0,0,0,0.541176470588235,0.991666666666667,0,0,0,2.09176470588235,2.80666666666667,0,0,0,89.2647058823529,133.633333333333,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3592#""*"".ecoliFASTHMMTEST_selac_UNREST_none",0.00588235294117647,0.00833333333333333,0,0,0,0.0223529411764706,0.0233333333333333,0,0,0,0.0852941176470588,0.275,0,0,0,0.32,0.763333333333333,0,0,0,13.6,23.3333333333333,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_none",0.5,0.9,1.00833333333333,0,0,1.89176470588235,2.54,0.645833333333333,0,0,0.5,0.9,1.00833333333333,0,0,1.89176470588235,2.54,0.645833333333333,0,0,297.217647058824,562.166666666667,211.458333333333,0,0,17,6,12,18,12
