"","self.time.r38824ae","self.time.rf09bcd7","self.time.r4ea4356","self.time.rab3e84e","self.time.r5c98a1f","self.pct.r38824ae","self.pct.rf09bcd7","self.pct.r4ea4356","self.pct.rab3e84e","self.pct.r5c98a1f","total.time.r38824ae","total.time.rf09bcd7","total.time.r4ea4356","total.time.rab3e84e","total.time.r5c98a1f","total.pct.r38824ae","total.pct.rf09bcd7","total.pct.r4ea4356","total.pct.rab3e84e","total.pct.r5c98a1f","mem.total.r38824ae","mem.total.rf09bcd7","mem.total.r4ea4356","mem.total.rab3e84e","mem.total.r5c98a1f","samples.r38824ae","samples.rf09bcd7","samples.r4ea4356","samples.rab3e84e","samples.r5c98a1f"
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0147058823529412,0.0333333333333333,0,0,0.00416666666666667,0.0135294117647059,0.0233333333333333,0,0,0.000833333333333333,31.95,94.025,0,0,48.4916666666667,29.4117647058824,66.6666666666667,0,0,8.33333333333333,7679.94117647059,16588.0666666667,0,0,261.983333333333,17,6,12,18,12
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0470588235294118,0.05,0.05,0.0333333333333333,0.0416666666666667,0.0464705882352941,0.0333333333333333,0.01,0.00666666666666667,0.00833333333333333,98.1029411764706,143.1,643.241666666667,421.041666666667,546.9625,94.1176470588235,100,100,66.6666666666667,83.3333333333333,24346.3705882353,25332.85,149079.583333333,97646.2944444444,2562.925,17,6,12,18,12
"""tryCatchOne"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0235294117647059,0.025,0,0,0,0.0235294117647059,0.0166666666666667,0,0,0,30.2235294117647,70.525,0,0,0,29.4117647058824,50,0,0,0,7400.63529411765,12604.0833333333,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1250#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0411764705882353,0,0,0,0,0.04,0,0,0,0,50.5941176470588,0,0,0,0,48.1511764705882,0,0,0,0,13834.1705882353,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1122#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",29.9176470588235,0,0,0,0,28.61,0,0,0,0,58.1852941176471,0,0,0,0,55.67,0,0,0,0,14378.5764705882,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1454#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
""".Call"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17.1029411764706,24.5333333333333,0,0,0,16.3770588235294,17.16,0,0,0,19.3,27.475,0,0,0,18.4788235294118,19.2166666666667,0,0,0,4344.97058823529,4661.23333333333,0,0,0,17,6,12,18,12
"""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.523529411764706,0.641666666666667,0,0.0916666666666667,0,0.5,0.445,0,0.0144444444444444,0,19.2323529411765,26.8916666666667,0,0.0916666666666667,0,18.4129411764706,18.8066666666667,0,0.0144444444444444,0,4261.17058823529,4561.23333333333,0,25.1,0,17,6,12,18,12
"""replCmat4"".ecoliFASTHMMTEST_selac_UNREST_quadrature",18.1088235294118,19.3833333333333,0,0,0,17.3235294117647,13.54,0,0,0,19.0205882352941,20.3083333333333,0,0,0,18.1970588235294,14.19,0,0,0,4567.55294117647,2745.83333333333,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1225#""exp_A_tvec_codon"".ecoliFASTHMMTEST_selac_UNREST_quadrature",13.1852941176471,0,0,0,0,12.5623529411765,0,0,0,0,25.2941176470588,0,0,0,0,24.0905882352941,0,0,0,0,5867.9,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3591#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,17.3833333333333,0,0,0,0,2.70083333333333,0,0,0,0,17.3875,0,0,0,0,2.70166666666667,0,0,0,0,4184.56666666667,0,0,17,6,12,18,12
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,17.4583333333333,0,0,0,0,2.74111111111111,0,0,0,0,17.4638888888889,0,0,0,0,2.74222222222222,0,0,0,0,4273.92777777778,0,17,6,12,18,12
"""[<-"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0117647058823529,0.0166666666666667,0,0,0,0.0123529411764706,0.0116666666666667,0,0,0,4.42352941176471,6.36666666666667,0,0,0,4.41294117647059,4.58666666666667,0,0,0,1275.08823529412,887.033333333333,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1127#""[<-"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0.025,0,0,0,0,0.0166666666666667,0,0,0,0,9.68333333333333,0,0,0,0,6.87333333333333,0,0,0,0,1354.96666666667,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1126#""[<-"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""sum"".ecoliFASTHMMTEST_selac_UNREST_quadrature",2.67352941176471,5.48333333333333,5.6875,0,0,2.54823529411765,3.84333333333333,0.883333333333333,0,0,2.67352941176471,5.48333333333333,5.6875,0,0,2.54823529411765,3.84333333333333,0.883333333333333,0,0,545.817647058824,811.85,1261.74166666667,0,0,17,6,12,18,12
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,5.48333333333333,0,0,0,0,0.861666666666667,0,0,0,0,5.48333333333333,0,0,0,0,0.861666666666667,0,0,0,0,1246.63888888889,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3599#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0.716666666666667,0,0,0,0,0.113333333333333,0,0,0,0,5.52083333333333,0,0,0,0,0.858333333333333,0,0,0,0,1324.44166666667,0,0,17,6,12,18,12
"""new"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0264705882352941,0.075,0,0,0,0.0258823529411765,0.0516666666666667,0,0,0,1.37058823529412,4.28333333333333,0,0,0,1.35705882352941,3.00333333333333,0,0,0,225.958823529412,557.7,0,0,0,17,6,12,18,12
"""initialize"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.135294117647059,0.116666666666667,0,0,0,0.127647058823529,0.0816666666666667,0,0,0,3.72352941176471,5.325,0,0,0,3.55823529411765,3.72,0,0,0,682.888235294118,758.083333333333,0,0,0,17,6,12,18,12
"""*"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0647058823529412,0.0833333333333333,0,0,0,0.0635294117647059,0.0583333333333333,0,0,0,2.17352941176471,4.39166666666667,0,0,0,2.11058823529412,3.08,0,0,0,396.717647058824,604.55,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.494117647058824,0,0,0,0,0.468235294117647,0,0,0,0,6.60294117647059,0,0,0,0,6.28941176470588,0,0,0,0,1392.39411764706,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-f09bcd7/R/selac.R#3597#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.305882352941176,0.75,0,0,0,0.295294117647059,0.525,0,0,0,2.31764705882353,4.75,0,0,0,2.22411764705882,3.31333333333333,0,0,0,499.841176470588,740.916666666667,0,0,0,17,6,12,18,12
"""callNextMethod"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.194117647058824,0.233333333333333,0,0,0,0.186470588235294,0.161666666666667,0,0,0,3.23823529411765,3.84166666666667,0,0,0,3.09705882352941,2.68,0,0,0,605.723529411765,540.25,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3592#""*"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0117647058823529,0.0416666666666667,0,0,0,0.0111764705882353,0.03,0,0,0,0.555882352941176,3.61666666666667,0,0,0,0.538823529411765,2.55,0,0,0,118.217647058824,535.8,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_quadrature",1.92058823529412,3.6,3.825,0,0,1.83235294117647,2.51166666666667,0.594166666666667,0,0,1.92058823529412,3.6,3.825,0,0,1.83235294117647,2.51166666666667,0.594166666666667,0,0,1335.52941176471,1824.11666666667,835.308333333333,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3577#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_quadrature",1.72941176470588,3.65833333333333,4.0375,0,0,1.63764705882353,2.56333333333333,0.625833333333333,0,0,1.72941176470588,3.65833333333333,4.0375,0,0,1.63764705882353,2.56333333333333,0.625833333333333,0,0,1234.44705882353,2058.93333333333,889.083333333333,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0323529411764706,0,0,0,0,0.0288235294117647,0,0,0,0,2.20294117647059,0,0,0,0,2.01,0,0,0,0,510.876470588235,0,0,0,0,17,6,12,18,12
""".nextMethod"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.217647058823529,0.208333333333333,0,0,0,0.206470588235294,0.145,0,0,0,2.60588235294118,3.96666666666667,0,0,0,2.49411764705882,2.76666666666667,0,0,0,467.2,574,0,0,0,17,6,12,18,12
"""validObject"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.270588235294118,0.466666666666667,0,0,0,0.257058823529412,0.326666666666667,0,0,0,2.09117647058824,3.3,0,0,0,2.00176470588235,2.3,0,0,0,374.288235294118,487.116666666667,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3632#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.508823529411765,1.03333333333333,1.29583333333333,0,0,0.490588235294118,0.723333333333333,0.200833333333333,0,0,0.767647058823529,1.61666666666667,1.82916666666667,0,0,0.738823529411765,1.12833333333333,0.284166666666667,0,0,204.276470588235,334.7,456.225,0,0,17,6,12,18,12
"""as"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.123529411764706,0.225,0,0,0,0.119411764705882,0.155,0,0,0,1.09705882352941,1.75,0,0,0,1.05294117647059,1.21833333333333,0,0,0,229.976470588235,275.85,0,0,0,17,6,12,18,12
""".classEnv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.347058823529412,0.341666666666667,0,0,0,0.333529411764706,0.238333333333333,0,0,0,1.20588235294118,1.58333333333333,0,0,0,1.15529411764706,1.10333333333333,0,0,0,249.847058823529,283.483333333333,0,0,0,17,6,12,18,12
"""getClassDef"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.426470588235294,0.55,0.0458333333333333,0.0166666666666667,0,0.410588235294118,0.385,0.0075,0.00277777777777778,0,1.03823529411765,1.29166666666667,0.0666666666666667,0.0305555555555556,0,0.993529411764706,0.903333333333333,0.00916666666666667,0.00444444444444444,0,191.058823529412,212.95,20.6333333333333,5.75555555555556,0,17,6,12,18,12
"""rowSums"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0264705882352941,0.0333333333333333,0,0,0,0.0252941176470588,0.0216666666666667,0,0,0,0.347058823529412,0.716666666666667,0,0,0,0.33,0.49,0,0,0,66.9529411764706,132.15,0,0,0,17,6,12,18,12
"GrahamDB-selac-819329e/R/selac.R#3524#""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.00588235294117647,0.00833333333333333,0,0,0,0.00588235294117647,0.005,0,0,0,0.102941176470588,0.283333333333333,0,0,0,0.0976470588235294,0.193333333333333,0,0,0,40.0235294117647,29.7166666666667,0,0,0,17,6,12,18,12
"""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.817647058823529,1.31666666666667,0,0,0,0.777647058823529,0.921666666666667,0,0,0,0.817647058823529,1.31666666666667,0,0,0,0.777647058823529,0.921666666666667,0,0,0,132.517647058824,196.916666666667,0,0,0,17,6,12,18,12
"""anyStrings"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0323529411764706,0.0416666666666667,0,0,0,0.0323529411764706,0.0283333333333333,0,0,0,0.535294117647059,0.741666666666667,0,0,0,0.523529411764706,0.515,0,0,0,99.9764705882353,94.65,0,0,0,17,6,12,18,12
"""is"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.458823529411765,0.675,0,0,0,0.439411764705882,0.476666666666667,0,0,0,0.970588235294118,1.28333333333333,0,0,0,0.933529411764706,0.898333333333333,0,0,0,162.676470588235,184.533333333333,0,0,0,17,6,12,18,12
"""callGeneric"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0882352941176471,0.216666666666667,0,0,0,0.0835294117647059,0.151666666666667,0,0,0,0.567647058823529,1.33333333333333,0,0,0,0.543529411764706,0.928333333333333,0,0,0,104.547058823529,169.25,0,0,0,17,6,12,18,12
"""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0147058823529412,0.0166666666666667,0.0125,0.0138888888888889,0,0.0141176470588235,0.0116666666666667,0.0025,0.00277777777777778,0,0.252941176470588,0.416666666666667,0.0375,0.0277777777777778,0,0.237058823529412,0.301666666666667,0.00666666666666667,0.00444444444444444,0,53.7882352941176,76.0333333333333,8.29166666666667,7.35,0,17,6,12,18,12
"""validityMethod"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0764705882352941,0.0666666666666667,0,0,0,0.0711764705882353,0.0466666666666667,0,0,0,0.714705882352941,0.925,0,0,0,0.68,0.651666666666667,0,0,0,124.158823529412,124.216666666667,0,0,0,17,6,12,18,12
"""getClass"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.25,0.333333333333333,0,0,0,0.243529411764706,0.235,0,0,0,0.729411764705882,0.941666666666667,0,0,0,0.7,0.663333333333333,0,0,0,145.570588235294,156.9,0,0,0,17,6,12,18,12
"""<GC>"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.905882352941176,1.26666666666667,0.9625,0.933333333333333,0.479166666666667,0.864117647058824,0.886666666666667,0.15,0.148333333333333,0.0733333333333333,0.905882352941176,1.26666666666667,0.9625,0.933333333333333,0.479166666666667,0.864117647058824,0.886666666666667,0.15,0.148333333333333,0.0733333333333333,503.382352941176,638.7,271.675,268.044444444444,155.483333333333,17,6,12,18,12
""".requirePackage"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.441176470588235,0.508333333333333,0,0,0,0.420588235294118,0.355,0,0,0,0.655882352941176,0.983333333333333,0,0,0,0.625882352941176,0.686666666666667,0,0,0,131.188235294118,157.516666666667,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3782#""sum"".ecoliFASTHMMTEST_selac_UNREST_quadrature",1.25588235294118,0,0,0,0,1.19411764705882,0,0,0,0,1.25588235294118,0,0,0,0,1.19411764705882,0,0,0,0,287.335294117647,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3809#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.147058823529412,0,0,0,0,0.14,0,0,0,0,0.891176470588235,0,0,0,0,0.844117647058824,0,0,0,0,200.994117647059,0,0,0,0,17,6,12,18,12
""".local"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.00882352941176471,0,0,0,0,0.00882352941176471,0,0,0,0,0.179411764705882,0,0,0,0,0.171176470588235,0,0,0,0,53.8058823529412,0,0,0,0,17,6,12,18,12
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0.0333333333333333,0.0875,0.075,0,0,0.02,0.0125,0.0111111111111111,0,0,76.6166666666667,634.504166666667,482.463888888889,0,0,49.5,91.4983333333333,72.085,0,0,14020.2666666667,147059.883333333,112203.722222222,0,17,6,12,18,12
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.0235294117647059,0.00833333333333333,0,0.00277777777777778,0.0333333333333333,0.0211764705882353,0.005,0,0.000555555555555556,0.00583333333333333,45.1,25.3083333333333,0,39.4361111111111,325.070833333333,40.6147058823529,16.5033333333333,0,5.54555555555556,49.8991666666667,11024.5470588235,4604.78333333333,0,9171.97777777778,1296.80833333333,17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,0,0.133333333333333,0,0,0,0,0.0208333333333333,0,0,0,0,603.408333333333,0,0,0,0,91.4775,0,0,0,0,2414.79166666667,17,6,12,18,12
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,0,0.116666666666667,0,0,0,0,0.0183333333333333,0,0,0,0,648.491666666667,0,0,0,0,98.7658333333333,0,0,0,0,2553.45833333333,17,6,12,18,12
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,0,646.35,0,0,0,0,98.4375,0,0,0,0,646.475,0,0,0,0,98.4575,0,0,0,0,2497.175,17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,0,0.0333333333333333,0,0,0,0,0.005,0,0,0,0,332.695833333333,0,0,0,0,49.8783333333333,0,0,0,0,1312.49166666667,17,6,12,18,12
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.00588235294117647,0.00833333333333333,0.00416666666666667,0.00833333333333333,0.0208333333333333,0.00588235294117647,0.005,0.000833333333333333,0.00166666666666667,0.00333333333333333,0.0323529411764706,0.00833333333333333,0.00416666666666667,0.00833333333333333,222.925,0.0329411764705882,0.005,0.000833333333333333,0.00166666666666667,33.2708333333333,11.4470588235294,4,0.975,0.744444444444444,893.1,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_lognormal",1.02647058823529,2.05833333333333,3.12083333333333,0,0,0.944117647058824,1.36,0.4525,0,0,15.5117647058824,32.5916666666667,576.354166666667,0,0,14.25,21.535,83.5616666666667,0,0,3108.82352941176,6289.2,133727.025,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.0529411764705882,0.0916666666666667,572.320833333333,0,0,0.0494117647058824,0.0583333333333333,82.9766666666667,0,0,10.3970588235294,28.775,572.529166666667,0,0,9.57705882352941,19.0166666666667,83.0041666666667,0,0,2191.83529411765,5476.6,132845.633333333,0,0,17,6,12,18,12
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,2.99166666666667,0,0,0,0,0.438333333333333,0,0,0,0,568.369444444444,0,0,0,0,83.3094444444444,0,0,0,0,132241.255555556,0,17,6,12,18,12
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,564.380555555556,0,0,0,0,82.7255555555556,0,0,0,0,564.505555555556,0,0,0,0,82.7438888888889,0,0,0,0,131348.133333333,0,17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.0294117647058824,0.0166666666666667,0.0458333333333333,0.0222222222222222,0.0291666666666667,0.0258823529411765,0.0116666666666667,0.0075,0.00444444444444444,0.005,56.8147058823529,48.4166666666667,346.4375,305.233333333333,264.329166666667,52.5194117647059,33.1283333333333,49.9375,44.3888888888889,41.6108333333333,13935.9058823529,13558.15,80368.075,70849.6388888889,1123.46666666667,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1120#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,33.125,33.5666666666667,0,0,0,21.9116666666667,4.86666666666667,0,0,0,65.5833333333333,349.295833333333,0,0,0,43.36,50.6441666666667,0,0,0,13416.8166666667,80820.1666666667,0,0,17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,33.4194444444444,0,0,0,0,4.89722222222222,0,0,0,0,345.527777777778,0,0,0,0,50.6444444444444,0,0,0,0,80257.8666666667,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1123#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,32.2166666666667,32.0666666666667,0,0,0,21.2933333333333,4.64833333333333,0,0,0,63.5333333333333,339.045833333333,0,0,0,41.9616666666667,49.1516666666667,0,0,0,14792,78721.95,0,0,17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,32.3666666666667,0,0,0,0,4.74444444444444,0,0,0,0,335.275,0,0,0,0,49.145,0,0,0,0,77969.4833333333,0,17,6,12,18,12
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.0588235294117647,0.0916666666666667,0,0,0.00416666666666667,0.0547058823529412,0.06,0,0,0.000833333333333333,69.7235294117647,125.566666666667,0,0,57.7625,64.7058823529412,83.3333333333333,0,0,8.33333333333333,15062.7,27708.8833333333,0,0,269.633333333333,17,6,12,18,12
"""tryCatch"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.0676470588235294,0.0583333333333333,0,0,0,0.0605882352941177,0.0383333333333333,0,0,0,84.2588235294118,102.316666666667,0,0,0,76.4705882352941,66.6666666666667,0,0,0,20251.4058823529,18613.2666666667,0,0,0,17,6,12,18,12
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.00882352941176471,0.0166666666666667,0,0,0,0.00764705882352941,0.01,0,0,0,19.2911764705882,51.2916666666667,0,0,0,17.6470588235294,33.3333333333333,0,0,0,4808.04117647059,9479.28333333333,0,0,0,17,6,12,18,12
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.0470588235294118,0.0416666666666667,0.0333333333333333,0.025,0.0333333333333333,0.0423529411764706,0.0266666666666667,0.00666666666666667,0.005,0.00666666666666667,102.344117647059,125.566666666667,461.845833333333,350.305555555556,432.970833333333,94.1176470588235,83.3333333333333,66.6666666666667,50,66.6666666666667,23508.4117647059,27708.8833333333,107175.1,81333.9444444444,2000.99166666667,17,6,12,18,12
"""tryCatchOne"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.0205882352941176,0.0166666666666667,0,0,0,0.02,0.01,0,0,0,36.6411764705882,51.5333333333333,0,0,0,35.2941176470588,33.3333333333333,0,0,0,8138.76470588235,9311.18333333333,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1250#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.0294117647058824,0,0,0,0,0.0270588235294118,0,0,0,0,29.1088235294118,0,0,0,0,26.4552941176471,0,0,0,0,6593.37647058823,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1122#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",31.6382352941176,0,0,0,0,29.0323529411765,0,0,0,0,62.1382352941176,0,0,0,0,57.0164705882353,0,0,0,0,14123.4941176471,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1454#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
""".Call"".ecoliFASTHMMTEST_selac_UNREST_lognormal",17.4941176470588,26.4,0,0,0,16.0582352941176,17.4433333333333,0,0,0,19.7264705882353,29.8583333333333,0,0,0,18.1111764705882,19.7366666666667,0,0,0,4073.4,5782.55,0,0,0,17,6,12,18,12
"""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.447058823529412,0.841666666666667,0,0.119444444444444,0,0.402941176470588,0.553333333333333,0,0.0177777777777778,0,19.5705882352941,29.6416666666667,0,0.119444444444444,0,17.9564705882353,19.5833333333333,0,0.0177777777777778,0,3977.4,5642.55,0,32.5166666666667,0,17,6,12,18,12
"""replCmat4"".ecoliFASTHMMTEST_selac_UNREST_lognormal",18.6852941176471,19.1166666666667,0,0,0,17.1917647058824,12.6266666666667,0,0,0,19.5029411764706,19.9166666666667,0,0,0,17.9470588235294,13.16,0,0,0,4196.04117647059,3398.25,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1225#""exp_A_tvec_codon"".ecoliFASTHMMTEST_selac_UNREST_lognormal",13.5882352941176,0,0,0,0,12.4164705882353,0,0,0,0,25.3,0,0,0,0,23.1288235294118,0,0,0,0,5711.14705882353,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3591#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.00588235294117647,0,19.3625,0,0,0.00470588235294118,0,2.8025,0,0,0.0588235294117647,0,19.3666666666667,0,0,0.0511764705882353,0,2.80333333333333,0,0,15.5647058823529,0,4699.85833333333,0,0,17,6,12,18,12
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0,0,18.6388888888889,0,0,0,0,2.73333333333333,0,0,0,0,18.65,0,0,0,0,2.735,0,0,0,0,4524.26111111111,0,17,6,12,18,12
"""[<-"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.0117647058823529,0,0,0,0,0.0105882352941176,0,0,0,0,3.45294117647059,0,0,0,0,3.14764705882353,0,0,0,0,698,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1127#""[<-"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0.00833333333333333,0,0,0,0,0.005,0,0,0,0,3.33333333333333,0,0,0,0,2.20166666666667,0,0,0,0,423.266666666667,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1126#""[<-"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.00882352941176471,0,0,0,0,0.00705882352941176,0,0,0,0,3.63823529411765,0,0,0,0,3.18882352941176,0,0,0,0,982.782352941176,0,0,0,0,17,6,12,18,12
