"","self.time.rab3e84e","self.time.r5c98a1f","self.pct.rab3e84e","self.pct.r5c98a1f","total.time.rab3e84e","total.time.r5c98a1f","total.pct.rab3e84e","total.pct.r5c98a1f","mem.total.rab3e84e","mem.total.r5c98a1f","samples.rab3e84e","samples.r5c98a1f"
"deSolve/R/rk.R#75#""$"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,,,,,,,,,,0,0
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.145833333333333,0.480555555555556,0.0241666666666667,0.405833333333333,0.145833333333333,0.480555555555556,0.0241666666666667,0.405833333333333,62.7833333333333,4.41111111111111,12,36
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.05,0.216666666666667,0.01,0.0933333333333333,695.6,468.85,99.876,99.9066666666667,161356.34,2813.43333333333,5,3
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.05,0.216666666666667,0.01,0.11,0.05,486.65,0.01,99.56,4.05,2603.2,2,3
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,,0,0
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.275,,0.155,,399.725,,99.59,,2650.975,0,4
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.340909090909091,,0.219090909090909,,374.159090909091,,99.4409090909091,,2498.00909090909,0,11
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.0666666666666667,,0.01,,671.55,,99.7633333333333,,2651.26666666667,0,3
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.3,,0.194444444444444,,468.366666666667,,95.6233333333333,,2393.41111111111,0,9
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,195.402777777778,,83.8163888888889,,195.559722222222,,83.9336111111111,,2095.6,0,36
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,,0,0
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,,0,0
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,,0,0
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.05,0.05,0.01,0.01,689.041666666667,645.84,100,100,159864.25,3005.74,6,5
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.105,,0.015,,682.375,,99.816,,158638.1,,10,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_lognormal",3.02083333333333,,0.44,,573.545833333333,,83.4283333333333,,133416.7,,12,0
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",569.466666666667,,82.835,,569.6,,82.8541666666667,,132508.716666667,,12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",33.6041666666667,,4.89,,347.9125,,50.6125,,80780.0083333333,,12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",32.3708333333333,,4.71083333333333,,338.091666666667,,49.1825,,78633.5,,12,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,29.6453125,,15.8203125,,29.6765625,,15.8453125,,323.68125,0,32
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",18.5583333333333,,2.70083333333333,,18.5708333333333,,2.7025,,4511.575,,12,0
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_lognormal",5.77083333333333,,0.840833333333333,,5.775,,0.841666666666667,,1280.94166666667,,12,0
