SRC,Nuc.Model,Gamma.model,Revision,nCores,seed,model.LL
"ecoliHMMEVAL50","UNREST","none","ade1e58",1,3014,-504.560
"ecoliHMMEVAL50","UNREST","none","ade1e58",1,3011,-438.861
"ecoliHMMEVAL50","UNREST","none","ade1e58",1,3015,-421.665
"ecoliHMMEVAL50","UNREST","none","ade1e58",1,3012,-495.036
"ecoliHMMEVAL50","UNREST","median","ade1e58",1,3010,-522.764
"ecoliHMMEVAL50","UNREST","median","ade1e58",1,3013,-517.912
"ecoliHMMEVAL50","UNREST","median","ade1e58",1,3014,-525.081
"ecoliHMMEVAL50","UNREST","median","ade1e58",1,3011,-464.296
"ecoliHMMEVAL50","UNREST","median","ade1e58",1,3015,-449.519
"ecoliHMMEVAL50","UNREST","median","ade1e58",1,3012,-532.595
"ecoliHMMEVAL50","UNREST","quadrature","ade1e58",1,3010,NA
"ecoliHMMEVAL50","UNREST","quadrature","ade1e58",1,3010,NA
"ecoliHMMEVAL50","GTR","none","e90938f",1,2054,NA
"ecoliHMMEVAL50","GTR","none","ab3e84e",1,2054,-420.155
