"","rab3e84e.self.time","r5c98a1f.self.time","rab3e84e.self.pct","r5c98a1f.self.pct","rab3e84e.total.time","r5c98a1f.total.time","rab3e84e.total.pct","r5c98a1f.total.pct","rab3e84e.mem.total","r5c98a1f.mem.total"
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.05,0.075,0.01,0.015,695.6,604.025,99.876,99.86,161356.34,2674.35
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.05,0.075,0.01,0.01,0.05,649.975,0.01,99.805,4.05,2584.5
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.05,,0.01,,611.45,,99.79,,2505.8
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.15,,0.02,,662.95,,99.798,,2667.82
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.0666666666666667,,0.01,,671.55,,99.7633333333333,,2651.26666666667
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.105,,0.015,,682.375,,99.816,,158638.1,
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,0.116666666666667,,0.0183333333333333,,647.966666666667,,98.5933333333333,,2562.98333333333
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,645.75,,98.255,,645.858333333333,,98.275,,2511.18333333333
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_lognormal",3.02083333333333,,0.44,,573.545833333333,,83.4283333333333,,133416.7,
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",569.466666666667,,82.835,,569.6,,82.8541666666667,,132508.716666667,
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",33.6041666666667,,4.89,,347.9125,,50.6125,,80780.0083333333,
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",32.3708333333333,,4.71083333333333,,338.091666666667,,49.1825,,78633.5,
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0.05,0.05,0.01,0.01,689.041666666667,645.84,100,100,159864.25,3005.74
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",18.5583333333333,,2.70083333333333,,18.5708333333333,,2.7025,,4511.575,
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_lognormal",5.77083333333333,,0.840833333333333,,5.775,,0.841666666666667,,1280.94166666667,
"""tryCatchList"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,
"""doTryCatch"".ecoliHMMEVAL50_selac_UNREST_none",,0.05,,0.01,,733.55,,100,,3006.46666666667
"<expr>#760#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_none",,0.05,,0.01,,748.9025,,100,,3038.95
"""lapply"".ecoliHMMEVAL50_selac_UNREST_none",0.05,0.071875,0.01,0.01,0.05,738.484375,0.01,99.92,5.8,2834.01875
"""FUN"".ecoliHMMEVAL50_selac_UNREST_none",0.05,0.0807692307692308,0.01,0.0115384615384615,718.65,731.465384615385,99.92,99.9188461538462,167016.6,2780.36153846154
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliHMMEVAL50_selac_UNREST_none",,0.2,,0.0277142857142857,,733.412857142857,,99.918,,2790.46285714286
"<expr>#1042#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_none",0.05,0.05,0.01,0.01,678.5375,706.641666666667,100,100,157240.175,2921.58333333333
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliHMMEVAL50_selac_UNREST_none",,0.0675,,0.0105,,745.7425,,99.874,,2809.76
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliHMMEVAL50_selac_UNREST_none",0.1,,0.0166666666666667,,670.191666666667,,99.92,,155232.833333333,
"deSolve/R/ode.R#22#""rk"".ecoliHMMEVAL50_selac_UNREST_none",,0.158571428571429,,0.0211428571428571,,732.322857142857,,99.8182857142857,,2779.06285714286
"deSolve/R/rk.R#210#"".Call"".ecoliHMMEVAL50_selac_UNREST_none",,729.563888888889,,99.5052777777778,,729.675,,99.5205555555556,,2727.19166666667
"expm/R/expm_vec.R#78#""as.vector"".ecoliHMMEVAL50_selac_UNREST_none",3.00833333333333,,0.446666666666667,,558.816666666667,,83.3166666666667,,129685.633333333,
"expm/R/expm_vec.R#78#""%*%"".ecoliHMMEVAL50_selac_UNREST_none",555.008333333333,,82.7483333333333,,555.191666666667,,82.775,,128847.166666667,
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_none",32.4083333333333,,4.83166666666667,,340.475,,50.7566666666667,,78819.5333333333,
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_none",32.0916666666667,,4.78833333333333,,329.491666666667,,49.1283333333333,,76350.7166666667,
"<expr>#986#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_none",,,,,,,,,,
"expm/R/expm_vec.R#95#""%*%"".ecoliHMMEVAL50_selac_UNREST_none",18.9833333333333,,2.83,,18.9833333333333,,2.83,,4616.66666666667,
"expm/R/expm_vec.R#80#""sum"".ecoliHMMEVAL50_selac_UNREST_none",5.65,,0.841666666666667,,5.65,,0.841666666666667,,1239.56666666667,
"""tryCatchList"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_median",0.05,0.0555555555555556,0,0,2445.075,2994.05555555556,99.965,99.97,565081.475,11388.8666666667
"""doTryCatch"".ecoliHMMEVAL50_selac_UNREST_median",,0.05,,0,,3057.15,,100,,12420.4
"<expr>#760#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_median",,0.05,,0,,3033.48,,100,,11684.8
"""lapply"".ecoliHMMEVAL50_selac_UNREST_median",0.05,0.106666666666667,0,0.002,0.1,2966.07,0,99.9546666666667,14.6,11208.4066666667
"""FUN"".ecoliHMMEVAL50_selac_UNREST_median",0.05,0.246875,0,0.008125,2474.375,2964.378125,99.95,99.954375,571767.05,11193.575
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliHMMEVAL50_selac_UNREST_median",,0.73125,,0.02375,,2964.325,,99.9525,,11188.525
"<expr>#1042#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_median",0.05,0.05,0,0,2436.75,2873.73,100,100,562925.96,11578.3
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliHMMEVAL50_selac_UNREST_median",,0.209375,,0.006875,,2963.05625,,99.91125,,11181.31875
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliHMMEVAL50_selac_UNREST_median",0.375,,0.0166666666666667,,2470.74166666667,,99.95,,570822.683333333,
"deSolve/R/ode.R#22#""rk"".ecoliHMMEVAL50_selac_UNREST_median",,0.665625,,0.021875,,2952.028125,,99.52875,,11067.30625
"deSolve/R/rk.R#210#"".Call"".ecoliHMMEVAL50_selac_UNREST_median",,2943.390625,,99.236875,,2943.790625,,99.251875,,10982.55625
"expm/R/expm_vec.R#78#""as.vector"".ecoliHMMEVAL50_selac_UNREST_median",11.2916666666667,,0.455,,2058.85,,83.285,,476160.066666667,
"expm/R/expm_vec.R#78#""%*%"".ecoliHMMEVAL50_selac_UNREST_median",2044.525,,82.705,,2045.10833333333,,82.7266666666667,,473057.783333333,
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_median",123.283333333333,,4.98166666666667,,1266.475,,51.2216666666667,,292490.883333333,
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_median",115.35,,4.67,,1203.55833333333,,48.7016666666667,,278158.133333333,
"<expr>#986#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_median",,,,,,,,,,
"expm/R/expm_vec.R#95#""%*%"".ecoliHMMEVAL50_selac_UNREST_median",68.0916666666667,,2.75166666666667,,68.1166666666667,,2.75333333333333,,16620.0666666667,
